id,active,account,leader,name,description,pfp
45,1,2,104729,Student Physical Therapist Assistant Club (SPTA),Student Physical Therapist Assistant Club (SPTA) is a student-led organization at Stark State College.,club_pfps/physical-therapy-icon-4.png
44,1,3,101618,Student Occupational Therapy Assistant Club (SOTA),Student Occupational Therapy Assistant Club (SOTA) is a student-led organization at Stark State College.,club_pfps/23---SOTA-Organization-LOGO-01.png
43,1,4,101116,Student Nurse Association (SNA),Student Nurse Association (SNA) is a student-led organization at Stark State College.,club_pfps/sna_logo.jpg
42,1,5,100022,Student Health Information Management Association (SHIMA),Student Health Information Management Association (SHIMA) is a student-led organization at Stark State College.,club_pfps/shima.jpg
41,1,6,101670,Student Government Association/InterClub Council,Student Government Association/InterClub Council is a student-led organization at Stark State College.,club_pfps/studentGovernment.png
40,1,7,101217,Student American Dental Hygienist Association (SADHA),Student American Dental Hygienist Association (SADHA) is a student-led organization at Stark State College.,club_pfps/dentalLogo.jpg
39,1,8,101503,Student Ambassador Program,Student Ambassador Program is a student-led organization at Stark State College.,club_pfps/ambassador7023.jpg
38,1,9,102005,Stark Voices â€“ Student Publication/Newspaper,Stark Voices â€“ Student Publication/Newspaper is a student-led organization at Stark State College.,club_pfps/istockphoto-1330788505-612x612.jpg
37,1,10,100092,Stark State College Association of Medical Assistants,Stark State College Association of Medical Assistants is a student-led organization at Stark State College.,club_pfps/Medicine-Logo-Graphics-4647232-1.jpg
36,1,11,102810,Stark Raving Writers,Stark Raving Writers is a student-led organization at Stark State College.,club_pfps/Writers-Guild-Logo-NEW-AND-UNIMAGINABLY-IMPROVED-transparent-version.png
35,1,12,100396,Stark Communication Society,Stark Communication Society is a student-led organization at Stark State College.,club_pfps/starkcommunication.jpg
34,1,13,103183,Software Development Guild,Software Development Guild is a student-led organization at Stark State College.,club_pfps/softwareDevelopmentClub.png
33,1,14,104721,Respiratory Therapy Club,Respiratory Therapy Club is a student-led organization at Stark State College.,club_pfps/Respiratory-Therapy-Club-.jpg
32,1,15,101750,Psi Beta Psychology Honors Chapter,Psi Beta Psychology Honors Chapter is a student-led organization at Stark State College.,club_pfps/PSIBeta.jpg
31,1,16,100222,Physics and Astronomy Club,Physics and Astronomy Club is a student-led organization at Stark State College.,club_pfps/astronomy_club_1.png
30,1,17,100815,Phi Theta Kappa Honor Society,Phi Theta Kappa Honor Society is a student-led organization at Stark State College.,club_pfps/PhiTheteKappa.png
29,1,18,100521,Outdoor Adventure Club,Outdoor Adventure Club is a student-led organization at Stark State College.,club_pfps/OutdoorAdventures.jpg
28,1,19,103192,National Electrical Contractors Association (NECA),National Electrical Contractors Association (NECA) is a student-led organization at Stark State College.,club_pfps/Neca_logo.jpg
27,1,20,103125,National Association of Black Accountants & Black Business Leaders (NABA),National Association of Black Accountants & Black Business Leaders (NABA) is a student-led organization at Stark State College.,club_pfps/277-2774243_naba-logo-black-transparent.jpg
26,1,21,103551,Math Club,Math Club is a student-led organization at Stark State College.,club_pfps/math_club_.jpg
25,1,22,104512,Institute of Management Accountants (IMA),Institute of Management Accountants (IMA) is a student-led organization at Stark State College.,club_pfps/accountant.png
24,1,23,100720,Institute of Electrical and Electronic Engineers (IEEE),Institute of Electrical and Electronic Engineers (IEEE) is a student-led organization at Stark State College.,club_pfps/electricalEngineering.png
23,1,24,100308,Human and Social Services Student Association,Human and Social Services Student Association is a student-led organization at Stark State College.,club_pfps/social_services.jpg
22,1,25,105202,High Technology Crime Investigation Association (HTCIA),High Technology Crime Investigation Association (HTCIA) is a student-led organization at Stark State College.,club_pfps/cyber-crime-growing-underground-market_1500.jpg
21,1,26,100883,Education Club,Education Club is a student-led organization at Stark State College.,club_pfps/teachers.png
20,1,27,104233,Culinary Club (Epicurean Society),Culinary Club (Epicurean Society) is a student-led organization at Stark State College.,club_pfps/Culinary-2.jpg
19,1,28,103419,CRU (Campus Crusade for Christ),CRU (Campus Crusade for Christ) is a student-led organization at Stark State College.,club_pfps/Christ.png
18,1,29,103489,Criminal Justice Student Association,Criminal Justice Student Association is a student-led organization at Stark State College.,club_pfps/Behavioral-Science-Criminal-Justice-Law-Enforcement-scaled-e1628272945930.jpg
17,1,30,105119,"Cranberries, Baby! (Sketch Comedy Troupe)","Cranberries, Baby! (Sketch Comedy Troupe) is a student-led organization at Stark State College.",club_pfps/24comedy-improv-jlhv-articleLarge.png
16,1,31,104282,Comic Book Club,Comic Book Club is a student-led organization at Stark State College.,club_pfps/get-into-comic-books-scaled.png
15,1,32,100788,Chemistry Club (Stark State College Student Chapter of the American Chemical Society),Chemistry Club (Stark State College Student Chapter of the American Chemical Society) is a student-led organization at Stark State College.,club_pfps/PeriodicTable-Detail-Types-batlow-sInk-Fabio-Crameri.png
14,1,33,101969,Between the Covers Book Club,Between the Covers Book Club is a student-led organization at Stark State College.,club_pfps/BookClub.jpg
13,1,34,104077,Beta Beta Beta (Tri Beta) Biological Honor Society,Beta Beta Beta (Tri Beta) Biological Honor Society is a student-led organization at Stark State College.,club_pfps/BetaLogo.png
12,1,35,104274,Association for Medical Laboratory Technicians (AMLT),Association for Medical Laboratory Technicians (AMLT) is a student-led organization at Stark State College.,club_pfps/medical-laboratory-technology-as-a-leading-allied-health-science-career.png
11,1,36,102222,Amateur Radio Society,Amateur Radio Society is a student-led organization at Stark State College.,club_pfps/technician-repairing-old-radio.png
